timestamp,event_type,client_id,money,greed,pride,current_price,bid
20,bid,1,100,0.5,0.3,50,131
20,bid,2,150,0.4,0.5,50,132
20,greed_update,1,100,0.51,0.3,,
20,greed_update,2,150,0.41000000000000003,0.5,,
20,greed_update,3,80,0.61,0.2,,
19,greed_update,1,100,0.52,0.3,,
19,greed_update,2,150,0.42000000000000004,0.5,,
19,greed_update,3,80,0.62,0.2,,
18,bid,2,150,0.42000000000000004,0.5,132,333
18,greed_update,1,100,0.53,0.3,,
18,greed_update,2,150,0.43000000000000005,0.5,,
18,greed_update,3,80,0.63,0.2,,
17,greed_update,1,100,0.54,0.3,,
17,greed_update,2,150,0.44000000000000006,0.5,,
17,greed_update,3,80,0.64,0.2,,
16,greed_update,1,100,0.55,0.3,,
16,greed_update,2,150,0.45000000000000007,0.5,,
16,greed_update,3,80,0.65,0.2,,
15,greed_update,1,100,0.56,0.3,,
15,greed_update,2,150,0.4600000000000001,0.5,,
15,greed_update,3,80,0.66,0.2,,
14,greed_update,1,100,0.5700000000000001,0.3,,
14,greed_update,2,150,0.4700000000000001,0.5,,
14,greed_update,3,80,0.67,0.2,,
13,greed_update,1,100,0.5800000000000001,0.3,,
13,greed_update,2,150,0.4800000000000001,0.5,,
13,greed_update,3,80,0.68,0.2,,
12,greed_update,1,100,0.5900000000000001,0.3,,
12,greed_update,2,150,0.4900000000000001,0.5,,
12,greed_update,3,80,0.6900000000000001,0.2,,
11,greed_update,1,100,0.6000000000000001,0.3,,
11,greed_update,2,150,0.5000000000000001,0.5,,
11,greed_update,3,80,0.7000000000000001,0.2,,
10,greed_update,1,100,0.6100000000000001,0.3,,
10,greed_update,2,150,0.5100000000000001,0.5,,
10,greed_update,3,80,0.7100000000000001,0.2,,
9,greed_update,1,100,0.6200000000000001,0.3,,
9,greed_update,2,150,0.5200000000000001,0.5,,
9,greed_update,3,80,0.7200000000000001,0.2,,
8,greed_update,1,100,0.6300000000000001,0.3,,
8,greed_update,2,150,0.5300000000000001,0.5,,
8,greed_update,3,80,0.7300000000000001,0.2,,
7,greed_update,1,100,0.6400000000000001,0.3,,
7,greed_update,2,150,0.5400000000000001,0.5,,
7,greed_update,3,80,0.7400000000000001,0.2,,
6,greed_update,1,100,0.6500000000000001,0.3,,
6,greed_update,2,150,0.5500000000000002,0.5,,
6,greed_update,3,80,0.7500000000000001,0.2,,
5,greed_update,1,100,0.6600000000000001,0.3,,
5,greed_update,2,150,0.5600000000000002,0.5,,
5,greed_update,3,80,0.7600000000000001,0.2,,
4,greed_update,1,100,0.6700000000000002,0.3,,
4,greed_update,2,150,0.5700000000000002,0.5,,
4,greed_update,3,80,0.7700000000000001,0.2,,
3,greed_update,1,100,0.6800000000000002,0.3,,
3,greed_update,2,150,0.5800000000000002,0.5,,
3,greed_update,3,80,0.7800000000000001,0.2,,
2,greed_update,1,100,0.6900000000000002,0.3,,
2,greed_update,2,150,0.5900000000000002,0.5,,
2,greed_update,3,80,0.7900000000000001,0.2,,
1,greed_update,1,100,0.7000000000000002,0.3,,
1,greed_update,2,150,0.6000000000000002,0.5,,
1,greed_update,3,80,0.8000000000000002,0.2,,
0,auction_end,2,,,,333,333
